forum,GovSponsored,UniSponsored,EitherUniGov
MCCC-OH,0,1,1
OSWCCom,1,0,1
LevCF,0,1,1
CTC,1,1,1
ONU-CCM,1,1,1
CCS,0,1,1
COSECE,1,0,1
ELEIPM,0,0,0
OStormWC,0,0,0
ECCWCE,1,0,1
OSWMDC,0,0,0
MORPC-EAQWG,0,0,0
MORPC-FCTID,0,0,0
MORPC-2050,0,0,0
MORPC-TAC,0,0,0
MORPC-WQWG,0,0,0
MORPC-COB,0,0,0
MORPC-RF,0,0,0
WMHABS,0,0,0
OWWWC,0,1,1
OEERLS,0,1,1
CMBA-ELI,0,0,0
SFD,0,0,0
OSWA-ANISW,0,0,0
OSWA-SGICSS,0,0,0
OSWA-PCBMP,1,0,1
OSWA-TC,0,0,0
OSWA-SRGI,0,0,0
ASFMPC,0,0,0
ANWQ-Mem,0,0,0
OANWG,0,0,0
NEOSWTC,0,0,0
TMACOG-ECW,0,0,0
EP-OH-WS,0,0,0
CCSem,0,1,1
CCFMW,1,0,1
GCCCSHW,1,1,1
ArchSHW,1,1,1
ACWG,0,0,0
NRCS-CCF,1,0,1
WashSHCCW,1,0,1
OSHS,1,0,1
GFS,0,0,0
MSIS,0,1,1
BCS,0,1,1
OEFFAC,0,0,0
OPHIS,0,0,0
VLBPUFT,0,1,1
M&U-Richland,1,1,1
CC4H,1,0,1
CCWeb,0,1,1
SWATW,1,0,1
FWebS,0,0,0
MWSS,0,1,1
WFWMAP,0,0,0
OSU-CCWS,0,1,1
OSU-CW,1,1,1
OSUCC-GICB,1,1,1
OSUCC-LLC,1,1,1
OSUCC-CBA,0,1,1
OSUCC-HABM,0,1,1
OSUCC-CCIW,0,1,1
OSUCC-CCEW,0,1,1
OSUCC-AFM,0,1,1
OCVNC,0,0,0
DNWSG,1,0,1
DNWSFE,1,0,1
NWSGW,1,1,1
NSSP,0,0,0
NC246,0,0,0
RAC,0,0,0
NCERA220,0,0,0
GMW,0,1,1
GLVWG,0,0,0
IPMS,0,0,0
APSS,0,0,0
ICBPI,0,0,0
MPMIC,0,0,0
IAFPS,0,0,0
OSU-CAPSW,0,1,1
AFEBPS,0,1,1
NGACM,0,0,0
SICBM,0,0,0
AGPUM,0,0,0
GLPF,0,0,0
SoGL,0,0,0
CCAPTF,0,1,1
CoDCCARW,0,0,0
OSWTCW,0,0,0
USDOTCCW,1,0,1
WISHS,0,1,1
SIGWP-UCS,0,1,0
F&CCS,0,0,0
PCFC,0,0,0
CHFC,1,0,1
OTCC,0,0,0
SEOTCC,1,0,1
WTMF,0,1,1
IMGC,0,0,0
ITS,0,0,0
T&UC,0,0,0
OFAAM,0,0,0
OSU-CTAC,0,1,1
COUFC,1,0,1
UFSC,1,0,1
CFCW,0,0,0
EABUWS,1,0,1
WGEFMCPSE,0,0,0
ISSRM,0,0,0
NCFAE,0,0,0
UFPIBPC,0,0,0
OWDC,1,0,1
OIPCM,0,0,0
MAPMSC,0,0,0
ISNALMS,0,0,0
GLANSPM,0,0,0
MNPC,0,0,0
TNCTF,0,0,0
IBCM,0,0,0
EOGFC,0,0,0
PLTW,1,0,1
ARRIC,1,1,1
ENRGRPS,0,1,1
SFSE,0,1,1
LSSS,0,0,0
RULUMS,0,1,1
KSESDRS,0,1,1
HSS,0,0,0
BirdS,0,0,0
MUCSLUP,1,1,1
OLBC,0,0,0
OTPC,1,0,0
LU-NOPPS,0,0,0
OWF,1,1,1
EPN-OSU,0,1,1
NEOLUHW,0,0,0
IS2050,0,0,0
AOPAM,0,0,0
OLUHW,1,0,1
FCGLUPF,0,1,1
OLTAPW-ODOT,1,0,1
CHCWS,1,0,1
ABLUW,0,1,1
PGOSCWS,1,0,1
USEPA-SGW,1,0,1
OBSym,1,0,1
MBWGMC,0,0,0
MBCA,1,0,1
NRACDO,0,0,0
CWS,0,0,0
MWFWC,0,0,0
WSUWS,0,1,1
ASNASBR,0,0,0
SRWS,1,1,1
ISUWE,0,0,0
OBCP,0,0,0
AOWSC,0,0,0
PITBC,0,0,0
OARC,0,0,0
OORF,0,0,0
OBSL,0,0,0
